price,adj_close,adj_close,adj_close,close,close,close,high,high,high,low,low,low,open,open,open,volume,volume,volume
ticker,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
date,,,,,,,,,,,,,,,,,,
2019-01-02,5.467740058898926,30.699039459228516,20.67466735839844,7.900000095367432,33.63999938964844,20.67466735839844,8.020000457763672,33.810001373291016,21.0086669921875,7.480000019073486,32.40999984741211,19.920000076293945,7.53000020980835,32.849998474121094,20.406667709350582,47494400,7662300,174879000
2019-01-03,5.384685516357422,29.430572509765625,20.02400016784668,7.78000020980835,32.25,20.02400016784668,7.989999771118164,33.68000030517578,20.62666702270508,7.78000020980835,32.20000076293945,19.82533264160156,7.96999979019165,33.34000015258789,20.46666717529297,39172400,11618300,104478000
2019-01-04,5.592321395874023,30.41615295410156,21.179332733154297,8.079999923706055,33.33000183105469,21.179332733154297,8.119999885559082,33.56999969482422,21.200000762939453,7.849999904632568,32.43000030517578,20.18199920654297,7.909999847412109,32.79999923706055,20.399999618530273,43039800,10784000,110911500
2019-01-07,5.737666130065918,31.356101989746097,22.33066749572754,8.289999961853027,34.36000061035156,22.33066749572754,8.369999885559082,34.970001220703125,22.44933319091797,8.029999732971191,33.47999954223633,21.183332443237305,8.109999656677246,33.709999084472656,21.447999954223633,40729400,10722300,113268000
2019-01-08,5.793035984039307,31.766765594482425,22.356666564941406,8.369999885559082,34.810001373291016,22.356666564941406,8.539999961853027,35.68000030517578,22.93400001525879,8.350000381469727,34.4900016784668,21.801332473754883,8.420000076293945,35.0,22.797332763671875,45644000,10532900,105127500
2019-01-09,6.035276889801025,32.10441589355469,22.568666458129883,8.720000267028809,35.18000030517578,22.568666458129883,8.770000457763672,35.59000015258789,22.899999618530273,8.359999656677246,34.709999084472656,22.097999572753903,8.449999809265137,34.959999084472656,22.36666679382324,48404900,9917600,81493500
2019-01-10,6.00067138671875,31.69375228881836,22.99799919128418,8.670000076293945,34.72999954223633,22.99799919128418,8.770000457763672,35.04999923706055,23.025999069213867,8.449999809265137,34.16999816894531,22.11933326721191,8.710000038146973,35.0,22.293333053588867,39490400,9143700,90846000
2019-01-11,6.104489326477051,33.929569244384766,23.15066719055176,8.819999694824219,37.18000030517578,23.15066719055176,8.930000305175781,37.970001220703125,23.227333068847656,8.699999809265137,36.25,22.584667205810547,8.770000457763672,36.599998474121094,22.805999755859375,41559900,32257100,75586500
2019-01-14,6.2221503257751465,34.36759948730469,22.293333053588867,8.989999771118164,37.65999984741211,22.293333053588867,9.0600004196167,38.0,22.833332061767575,8.760000228881836,37.02000045776367,22.266666412353516,8.800000190734863,37.25,22.82533264160156,44833800,14361100,78709500
2019-01-15,6.118332386016846,34.2672119140625,22.961999893188477,8.84000015258789,37.54999923706055,22.961999893188477,9.029999732971191,37.84000015258789,23.253332138061523,8.75,36.79999923706055,22.299999237060547,9.020000457763672,37.84000015258789,22.333332061767575,65311700,11999100,90849000
2019-01-16,5.737666130065918,34.376731872558594,23.06999969482422,8.289999961853027,37.66999816894531,23.06999969482422,8.770000457763672,37.97999954223633,23.46666717529297,8.260000228881836,37.27000045776367,22.899999618530273,8.680000305175781,37.47999954223633,22.985332489013672,73869900,17427400,70375500
2019-01-17,5.786113739013672,34.9151496887207,23.15399932861328,8.359999656677246,38.2599983215332,23.15399932861328,8.4399995803833,38.29999923706055,23.433332443237305,8.210000038146973,37.400001525878906,22.94333267211914,8.270000457763672,37.5,23.08066749572754,56722600,13060500,55150500
2019-01-18,5.938381671905518,35.23454284667969,20.15066719055176,8.579999923706055,38.61000061035156,20.15066719055176,8.600000381469727,38.77000045776367,21.808666229248047,8.329999923706055,37.84000015258789,19.98200035095215,8.390000343322754,38.45000076293945,21.53333282470703,51127900,10494100,362262000
2019-01-22,5.883010387420654,34.81476593017578,19.92799949645996,8.5,38.150001525878906,19.92799949645996,8.609999656677246,38.779998779296875,20.53333282470703,8.460000038146973,37.88999938964844,19.700000762939453,8.539999961853027,38.279998779296875,20.321332931518555,47182600,12134400,181000500
2019-01-23,5.77227258682251,34.376731872558594,19.172666549682617,8.34000015258789,37.66999816894531,19.172666549682617,8.539999961853027,38.36000061035156,19.63333320617676,8.279999732971191,37.47999954223633,18.779333114624023,8.539999961853027,38.20000076293945,19.5,45196900,7752800,187950000
2019-01-24,5.9522247314453125,34.823890686035156,19.43400001525879,8.600000381469727,38.15999984741211,19.43400001525879,8.680000305175781,38.290000915527344,19.57866668701172,8.220000267028809,37.65999984741211,18.618667602539062,8.319999694824219,37.7599983215332,18.868667602539062,79516400,7809100,120183000
2019-01-25,6.13217306137085,35.261924743652344,19.80266761779785,8.859999656677246,38.63999938964844,19.80266761779785,8.960000038146973,38.83000183105469,19.90133285522461,8.729999542236328,38.36000061035156,19.303333282470703,8.739999771118164,38.650001525878906,19.625999450683594,53098800,8842600,108744000
2019-01-28,5.993751049041748,35.097660064697266,19.7586669921875,8.65999984741211,38.459999084472656,19.7586669921875,8.800000190734863,38.599998474121094,19.83066749572754,8.579999923706055,38.060001373291016,19.183332443237305,8.800000190734863,38.22999954223633,19.527332305908203,42116300,11384400,96349500
2019-01-29,6.062961578369141,35.106788635253906,19.83066749572754,8.760000228881836,38.470001220703125,19.83066749572754,8.789999961853027,38.540000915527344,19.90399932861328,8.619999885559082,38.09000015258789,19.453332901000977,8.710000038146973,38.310001373291016,19.684667587280273,30485000,5745200,69325500
2019-01-30,6.133380889892578,35.672584533691406,20.584667205810547,8.710000038146973,39.09000015258789,20.584667205810547,8.720000267028809,39.13999938964844,20.600000381469727,8.520000457763672,38.119998931884766,19.89933204650879,8.65999984741211,38.5,20.030000686645508,29906100,11033000,168754500
